"aby promować przejrzystość i odpowiedzialność","to promote transparency and accountability"
"aby skierował ją do innego","to address it to another"
"administracyjnej oraz wzajemnej pomocy administracyjnej","administrative cooperation and mutual administrative assistance"
"administracyjnych oraz wewnętrznych i zewnętrznych","administrative procedures and internal and external"
"ale było to zbyt wcześnie","but this was too early"
"ale ich główne działania są","but their main activities are"
"ale także dla każdej organizacji","but also for any organisation"
"ale także krzewienia dialogu pomiędzy","but also in promoting dialogue among"
"ale w żadnym przypadku nie","but in any case no"
"alokacja finansowa dla programu może","financial allocation for the programme may"
"alokacji i kontroli muszą być","allocation and control procedures are needed"
"badania i demonstracja są potrzebne","research and demonstration are necessary"
"badania takie są niezbędne dla","such research is essential to"
"bardziej bezpośredni i konkretny sposób","more immediate and concrete way"
"bardziej bolesną i kosztowną adaptację","more painful and expensive adaptation"
"bardziej intensywnych i owocnych stosunków","more intense and fruitful relations"
"bardziej spójnego i skutecznego systemu","more coherent and effective system"
"bardziej systematyczne podejście do współpracy","more systematic approach to cooperation"
"bardziej szczegółowa ocena oddziaływania będzie","more detailed impact assessment will"
"bardziej znaczące stosunki z tymi","more significant relations with those"
"bez aktywnego wsparcia i współpracy","without the active support and cooperation"
"bez uszczerbku dla dyrektywy rady","without prejudice to council directive"
"bez uszczerbku dla ich międzynarodowych","without prejudice to their international"
"bezpieczeństwa dostaw i zmian klimatu","security of supply and climate change"
"bezpieczeństwa energetycznego i integracji rynków","energy security and market integration"
"bezpieczeństwem na poziomie wspólnoty będą","security research at community level will"
"bezpieczeństwo łańcucha dostaw i ułatwienie","supply chain security and trade facilitation"
"bezpośredni dostęp w formie elektronicznej","direct access in electronic form"
"bezpośredni udział w pracach nad","direct participation in work on"
"bezwzględnej obfitości flory i fauny","absolute abundance of flora and fauna"
"będą musiały być gotowe do","will need to be ready"
"będą walczyć o prawo do","will battle for the right to"
"będąca regionalną organizacją integracji gospodarczej","is a regional economic integration organization"
"będzie ściśle współpracował z międzyrządowym","will cooperate closely with the intergovernmental"
"będzie to miało pozytywny wpływ","this will have a positive effect"
"będzie wymagało ustanowienia lub istnienia","will require the establishment or existence"
"biura prasowego oraz pełnego zaangażowania","press office and for full involvement"
"bodźca dla innowacji i mogą","stimulus for innovation and can"
"braku działania na poziomie światowym","lack of action at world level"
"budżetu wspólnoty poprzez pośrednie zarządzanie","community budget through centralised indirect management"
"być dostosowany do postępu technicznego","be adapted to technical progress"
"być migracja ludności na dużą","to be large scale population migration"
"być szkodliwe dla zdrowia ludzi","be harmful to human health"
"być używane w sektorze samochodowym","be used in the automotive sector"
"cel strategiczny na kolejną dekadę","strategic goal for the next decade"
"centralną rolę edukacji i szkoleń","central role of education and training"
"centrum zapobiegania i kontroli chorób","centre of disease prevention and control"
"chemicznego i ilościowego stanu wody","chemical and quantitative water status"
"chemikalia lub jakiekolwiek inne substancje","chemicals or any other substance"
"choroby u ludzi lub innych","disease in man or other"
"ciągły wzrost na poziomie globalnym","continued growth at a global level"
"ciężkie mogą być toksyczne dla","heavy metals may be toxic to"
"comiesięcznego posiedzenia konsultacyjnego w ministerstwie","monthly consultative meeting at the ministry"
